Label,IPLength,IPHeaderLength,TTL,Protocol,SourcePort,DestPort,SequenceNumber,AckNumber,WindowSize,TCPHeaderLength,TCPLength,TCPStream,TCPUrgentPointer,IPFlags,IPID,IPchecksum,TCPflags,TCPChecksum
TCP_Assistant,281,20,64,6,36171,443,1,1,1597,20,241,0,0,0x02,0xe0e0,0x9e5d,0x0018,0xc650
TCP_Assistant,40,20,64,6,36171,443,242,93,1597,20,0,0,0,0x02,0xe0e1,0x9f4d,0x0010,0xd2b2
TCP_Assistant,52,20,64,6,45990,443,1,1,406,32,0,1,0,0x02,0x5aee,0xa23f,0x0010,0x2147
TCP_Assistant,121,20,64,6,36836,443,1,1,406,32,69,2,0,0x02,0x8539,0x4150,0x0018,0xb3dc
TCP_Assistant,90,20,64,6,36836,443,70,1,406,32,38,2,0,0x02,0x853a,0x416e,0x0018,0x450f
TCP_Assistant,52,20,64,6,36836,443,108,79,406,32,0,2,0,0x02,0x853b,0x4193,0x0010,0x5f72
TCP_Assistant,52,20,64,6,36836,443,108,117,406,32,0,2,0,0x02,0x853c,0x4192,0x0010,0x5f4b
TCP_Assistant,86,20,64,6,36836,443,108,117,406,32,34,2,0,0x02,0x853d,0x416f,0x0018,0x9e2f
TCP_Assistant,90,20,64,6,36836,443,142,117,406,32,38,2,0,0x02,0x853e,0x416a,0x0018,0x8836
TCP_Assistant,78,20,64,6,56034,443,1,1,406,32,26,3,0,0x02,0x6001,0xa64c,0x0018,0xfd89
TCP_Assistant,52,20,64,6,56034,443,27,27,406,32,0,3,0,0x02,0x6002,0xa665,0x0010,0x9243
TCP_Assistant,86,20,64,6,36230,443,1,1,1597,20,46,4,0,0x02,0x0aca,0x542d,0x0018,0x37f9
TCP_Assistant,85,20,64,6,55637,443,1,1,8202,32,33,5,0,0x02,0xda5e,0xd589,0x0018,0x5735
TCP_Assistant,52,20,64,6,55637,443,34,32,8202,32,0,5,0,0x02,0xda5f,0xd5a9,0x0010,0x239e
TCP_Assistant,52,20,64,6,60429,443,1,1,279,32,0,6,0,0x02,0x7361,0x5362,0x0010,0x485f
TCP_Assistant,52,20,64,6,42208,443,1,1,296,32,0,7,0,0x02,0xdb68,0xea80,0x0010,0xf3e7
TCP_Assistant,77,20,64,6,45990,443,2,1,406,32,25,1,0,0x02,0x5aef,0xa225,0x0018,0x852b
TCP_Assistant,52,20,64,6,45990,443,27,26,406,32,0,1,0,0x02,0x5af0,0xa23d,0x0010,0xf094
TCP_Assistant,52,20,64,6,36784,443,1,1,245,32,0,8,0,0x02,0xae45,0x5039,0x0010,0xd161
TCP_Assistant,52,20,64,6,41409,443,1,1,406,32,0,9,0,0x02,0x9b1b,0x2c04,0x0010,0x485b
TCP_Assistant,52,20,64,6,55240,443,1,1,406,32,0,10,0,0x02,0x78e1,0xa24c,0x0010,0xc45b
TCP_Assistant,52,20,64,6,36836,443,179,117,406,32,0,2,0,0x02,0x853f,0x418f,0x0010,0x4d65
TCP_Assistant,86,20,64,6,36230,443,47,47,1597,20,46,4,0,0x02,0x0acb,0x542c,0x0018,0x050d
TCP_Assistant,121,20,64,6,41409,443,2,1,406,32,69,9,0,0x02,0x9b1c,0x2bbe,0x0018,0x8b4f
TCP_Assistant,90,20,64,6,41409,443,71,1,406,32,38,9,0,0x02,0x9b1d,0x2bdc,0x0018,0x0c31
TCP_Assistant,52,20,64,6,41409,443,109,117,406,32,0,9,0,0x02,0x9b1e,0x2c01,0x0010,0x5734
TCP_Assistant,86,20,64,6,41409,443,109,117,406,32,34,9,0,0x02,0x9b1f,0x2bde,0x0018,0x9f9e
TCP_Assistant,90,20,64,6,41409,443,143,117,406,32,38,9,0,0x02,0x9b20,0x2bd9,0x0018,0x8407
TCP_Assistant,52,20,64,6,56034,443,26,27,406,32,0,3,0,0x02,0x6003,0xa664,0x0010,0x80ad
TCP_Assistant,121,20,64,6,36836,443,180,117,406,32,69,2,0,0x02,0x8540,0x4149,0x0018,0xf39c
TCP_Assistant,90,20,64,6,36836,443,249,117,406,32,38,2,0,0x02,0x8541,0x4167,0x0018,0xf2b9
TCP_Assistant,86,20,64,6,36836,443,287,195,406,32,34,2,0,0x02,0x8542,0x416a,0x0018,0x28ab
TCP_Assistant,90,20,64,6,36836,443,321,195,406,32,38,2,0,0x02,0x8543,0x4165,0x0018,0x2a68
TCP_Assistant,52,20,64,6,36836,443,359,233,406,32,0,2,0,0x02,0x8544,0x418a,0x0010,0x5bf5
TCP_Assistant,52,20,64,6,60429,443,1,1,279,32,0,6,0,0x02,0x7362,0x5361,0x0010,0x86fa
TCP_Assistant,52,20,64,6,42208,443,1,1,296,32,0,7,0,0x02,0xdb69,0xea7f,0x0010,0x327f
TCP_Assistant,52,20,64,6,45990,443,26,26,406,32,0,1,0,0x02,0x5af1,0xa23c,0x0010,0xdef6
TCP_Assistant,52,20,64,6,36784,443,1,1,245,32,0,8,0,0x02,0xae46,0x5038,0x0010,0x0f80
TCP_Assistant,86,20,64,6,36230,443,93,93,1597,20,46,4,0,0x02,0x0acc,0x542b,0x0018,0x9de2
TCP_Assistant,52,20,64,6,55240,443,1,1,406,32,0,10,0,0x02,0x78e2,0xa24b,0x0010,0x0279
TCP_Assistant,52,20,64,6,40384,443,1,1,1641,32,0,11,0,0x02,0x8f26,0x987d,0x0010,0x3e9b
TCP_Assistant,83,20,64,6,40384,443,1,1,1641,32,31,11,0,0x02,0x8f27,0x985d,0x0018,0xb2ac
TCP_Assistant,52,20,64,6,40384,443,32,1,1641,32,0,11,0,0x02,0x8f28,0x987b,0x0011,0x3e7b
TCP_Assistant,52,20,64,6,41409,443,180,117,406,32,0,9,0,0x02,0x9b21,0x2bfe,0x0010,0x454b
TCP_Assistant,52,20,64,6,56034,443,26,27,406,32,0,3,0,0x02,0x6004,0xa663,0x0010,0xbf20
TCP_Assistant,52,20,64,6,36836,443,358,233,406,32,0,2,0,0x02,0x8545,0x4189,0x0010,0x4a61
TCP_Assistant,86,20,64,6,36230,443,139,139,1597,20,46,4,0,0x02,0x0acd,0x542a,0x0018,0x4513
TCP_Assistant,121,20,64,6,41409,443,181,117,406,32,69,9,0,0x02,0x9b22,0x2bb8,0x0018,0x6637
TCP_Assistant,90,20,64,6,41409,443,250,117,406,32,38,9,0,0x02,0x9b23,0x2bd6,0x0018,0x06da
TCP_Assistant,52,20,64,6,41409,443,288,233,406,32,0,9,0,0x02,0x9b24,0x2bfb,0x0010,0x542e
TCP_Assistant,86,20,64,6,41409,443,288,233,406,32,34,9,0,0x02,0x9b25,0x2bd8,0x0018,0x1d22
TCP_Assistant,90,20,64,6,41409,443,322,233,406,32,38,9,0,0x02,0x9b26,0x2bd3,0x0018,0x9737
TCP_Assistant,85,20,64,6,55637,443,34,32,8202,32,33,5,0,0x02,0xda60,0xd587,0x0018,0xc73c
TCP_Assistant,52,20,64,6,55637,443,67,63,8202,32,0,5,0,0x02,0xda61,0xd5a7,0x0010,0xa6f0
TCP_Assistant,52,20,64,6,60429,443,1,1,279,32,0,6,0,0x02,0x7363,0x5360,0x0010,0xc541
